unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id
Bon232_1_1,1-1,premise,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Bon232_1
Bon232_2_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Bon232_2
Bon340_1_1,1-1,mpos,low concreteness,high concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Bon340_1
Bon340_2_1,1-1,mpos,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Bon340_2
Bon441_2_1,1-1,premise,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Bon441_2
Bon452_1_1,1-1,premise,low concreteness,low concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Bon452_1
Bon543_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Bon543_1
Bon543_2_1,1-1,premise,low concreteness,high concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Bon543_2
Bon649_3_1,1-1,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Bon649_3
Bon663_1_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Bon663_1
Bon743_2_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Bon743_2
Bon789_2_1,1-1,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CQ_B,Bon789_2
Bon789_3_1,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Bon789_3
Bon875_1_1,1-1,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Bon875_1
Bon875_2_1,1-1,mpos,intermediate concreteness,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Bon875_2
Bon1111_1_1,1-1,premise,high concreteness,high concreteness,high concreteness,low concreteness,high concreteness,CQ_B,Bon1111_1
Bon1123_1_1,1-1,premise,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Bon1123_1
Bon1295_1_1,1-1,mpos,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Bon1295_1
Bon1295_2_1,1-1,premise,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Bon1295_2
Bon1350_1_1,1-1,premise,intermediate concreteness,intermediate concreteness,low concreteness,low concreteness,high concreteness,CQ_B,Bon1350_1
Bon1350_2_1,1-1,premise,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CQ_B,Bon1350_2
Bon1465_3_1,1-1,premise,intermediate concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Bon1465_3
Bon1465_3_2,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Bon1465_3
